Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,1280.46317065778,1292.33343722938,1260.06058051982,1352.3206265475,1366.99314578093,1528.34457777944,1556.84445154502,1823.74261448512,2026.16381797997,1961.09631655741,2122.83075870676,2165.3409147556,2144.44963352063,2108.71417281186,2101.42218654807,2096.09311055337,2060.69897292797,2079.92186098824,1968.34100152116,1516.3056669773
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4471.61629662191,4908.94841394376,4400.3271158057,4819.08356101225,5474.86778312428,5892.60142350251,6441.46172192909,6753.90323391264,7154.01874886252,7580.15285456245,8040.10761850088,8568.5776999641,9150.14668500999,9912.18082179424,10313.9353740545,10749.5015107851,11052.8140091293,11227.9870535984,11361.2895730336,11586.855263292,11878.4763712862,12291.882178685,12770.9878616071,13317.1168918016,13653.2267690592,13253.7577989746,14516.3143508937
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,8013.12344209486,8195.86047951226,8147.87819801799,8435.03565835831,8584.07149594148,8786.19034965696,8926.11013358895,9299.68213373874,9835.16170946118,10114.7255553923,10566.3728391174,10592.2471112484,10775.5321067078,10847.1766343771,10824.576361634,11007.7466062444,11113.9688925215,11270.701045131,11360.6376117058,11561.2597954385,11751.6341191101,11888.3229666783,11809.4830333846,11725.8777414257,11627.2799177398,10844.7707637063,11039.8052606484
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4131.88272456686,4537.8591189078,4708.27929811246,4770.14260896078,4719.44911633596,4708.36097674856,4747.82774487609,5219.63397553166,5195.30731038108,5565.58083996196,6178.3271120685,6648.75848146998,7309.3198642842,7832.8898093363,7613.7811672769,7691.13126492136,7664.43997522729,8012.10084537777,8100.38515449725,8183.67837136383,7967.1038707092,7488.13883715818,7216.06137266999,6878.59348164166,6602.42365714554,6032.27491352072,5908.5700447499
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15690.9301681197,16391.7185101378,16943.895404004,17414.4479785296,17754.5446789081,18545.9200026641,17433.0178254867,17388.5437901657,18237.2668421009,19077.4105316222,20076.4390222091,22340.7921073493,24088.1220754851,23727.3799063731,20571.9069695361,18702.0903815081,18117.1860376584,18526.390754008,18243.814492105,18779.4807116476,19345.0175352314,20267.9174691363,20777.8740340316,22085.2624862641,23035.6579820039,18275.6896772667,19124.4301561239
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,17303.9238485647,18031.5481912295,19261.8986222468,19773.1763655293,18884.9431117375,18524.8096075258,17514.5041008813,15439.7446333669,16631.5739769268,17950.1512818383,19338.1461909357,20679.243097676,22316.2555259104,22992.390179143,21413.2831164661,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22747.2416575831,22071.7480998394,19685.215869505,21527.1961367015
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2912.78105698073,3105.95278074442,3236.06050832406,3505.36840234803,3660.03411955301,3921.85752187599,4346.90750559669,4965.22435904764,5698.77847656251,6334.85615310927,7259.20389235415,8273.78569972956,9476.47149359946,10201.5594510386,8819.67745940627,9068.78765139006,9551.15813085673,10289.9756312671,10677.3036548195,11105.5324996261,11506.0389896756,11580.3836431751,12509.6396064818,13231.4310690444,14317.5528692827,13357.697063743,14193.1168341231
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,35780.7228338246,35125.9271123376,36479.9418385732,36105.2601768456,35495.2485725969,37241.0304977201,38123.3423828494,37309.7879457867,37353.5586833002,39713.8466703421,39166.1337914332,39146.9093433145,39866.7155996626,40096.781454969,34978.0091392753,33639.3961838994,34446.8568911293,33815.1093359046,35720.6981109098,35467.2357639234,36490.5244570947,37043.6981523794,38865.188195117,40706.7495100548,40780.5165685541,33155.2430887303,38866.333281551
