row_id,conflict_name,conflict_id,country_id,incompatibility,dyad_name,dyad_id,unclear_dyad,monadic_event,intensity,start_event,end_event,temporal_precision,source,third_states_no,third_igo_no,third_other,third_faith_based,third_name,third_id1,third_id2,third_id3,third_id4,third_id5,third_id6,third_id7,third_id8,third_id9,third_id10,third_id11,third_id12,third_id13,third_id14,third_id15,third_id16,third_id17,third_id18,third_id19,third_id20,third_total,warring_party,type_of_talks,talks_incompatibility,talks_conflict_behavior,talks_other,talks_unknown,good_office,fact_finding,permanent_observers,peacekeeping
1,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,1,06/25/1993,06/25/1993,1,"Reuters 1993-06-25, ""Algerian head of state meets Egyptian president""",1,0,0,0,Egypt,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0
2,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,2,04/01/1994,04/30/1994,4,"Reuters 1994-12-13 ""French envoy offered Algeria mediation - FIS chief.""",1,0,0,0,France,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0
3,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,2,11/21/1994,11/22/1994,1,"Reuters 1994-11-21 ""Algerian press brands Rome talks ""oriental dance""."" AND Reuters 1994-11-22 ""Algerian opposition urges end to killing.""",0,0,1,1,The Sant' Egidio Community,12033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0
4,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,1,01/08/1995,01/13/1995,1,"Reuters 1995-01-10 ""Algerian opposition groups draft peace proposal."" AND 1995-01-11 ""France cautiously welcomes Algeria parties' accord."" AND BBC 1995-01-16 ""OPPOSITION CALLS FOR TALKS WITH GOVERNMENT, RECOGNITION OF FIS.""",0,0,1,1,The Sant' Egidio Community,12033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,0,0,0,0,0
5,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,1,01/26/1995,01/26/1995,1,"Reuters 1995-01-25 ""Algerian Foreign Minister to meet Pope's aide."" AND Reuetrs 1995-01-26 ""Algerian elections possible in July, minister says.""",0,0,1,1,Vatican,12029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0
6,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,1,02/12/1996,02/18/1996,3,"Reuters 1996-02-19 ""Algiers angered by Mandela talks with militant.""",1,0,0,0,South Africa,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0
7,Algeria,191,615,2,Government of Algeria - AIS,1,0,0,1,02/24/1996,02/24/1996,1,"Reuters 1996-02-24 ""Mandela's emissary arrives in Algiers to mend ties.""",1,0,0,0,South Africa,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0
8,Algeria,191,615,2,Government of Algeria - AIS,1,1,0,1,12/15/1997,12/16/1997,1,"Reuters 1997-12-15 ""Algerian interior minister visits Spain.""",1,0,0,0,Spain,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0
9,Algeria,191,615,2,Government of Algeria - GIA,3,1,0,2,12/15/1997,12/16/1997,1,"Reuters 1997-12-15 ""Algerian interior minister visits Spain.""",1,0,0,0,Spain,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0
10,Algeria,191,615,0,Government of Algeria - AIS,1,1,0,0,01/10/1998,01/13/1998,1,"Reuters 1998-01-11 ""Algeria wins Chinese support ahead of EU talks.""",1,0,0,0,China,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0
11,Algeria,191,615,2,Government of Algeria - GIA,3,1,0,2,01/10/1998,01/13/1998,1,"Reuters 1998-01-11 ""Algeria wins Chinese support ahead of EU talks.""",1,0,0,0,China,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0
